title,genres,year,votes,rating
He's Just Not That Into You,Feel-Good Romance,2009,188000,6.4
He's Just Not That Into You,Romantic Comedy,2009,188000,6.4
He's Just Not That Into You,Comedy,2009,188000,6.4
He's Just Not That Into You,Drama,2009,188000,6.4
He's Just Not That Into You,Romance,2009,188000,6.4
Unknown,Action,2011,273000,6.8
Unknown,Mystery,2011,273000,6.8
Unknown,Thriller,2011,273000,6.8
Wayne's World 2,Buddy Comedy,1993,90000,6.2
Wayne's World 2,Comedy,1993,90000,6.2
Wayne's World 2,Music,1993,90000,6.2
Ironweed,Drama,1988,10000,6.7
Seven Pounds,Tragedy,2008,320000,7.6
Seven Pounds,Drama,2008,320000,7.6
Seven Pounds,Mystery,2008,320000,7.6
Seven Pounds,Thriller,2008,320000,7.6
As Good as It Gets,Romantic Comedy,1997,327000,7.7
As Good as It Gets,Comedy,1997,327000,7.7
As Good as It Gets,Drama,1997,327000,7.7
As Good as It Gets,Romance,1997,327000,7.7
The Upside,Comedy,2019,66000,7.0
The Upside,Drama,2019,66000,7.0
Machine Gun Preacher,True Crime,2011,70000,6.7
Machine Gun Preacher,Action,2011,70000,6.7
Machine Gun Preacher,Biography,2011,70000,6.7
Machine Gun Preacher,Crime,2011,70000,6.7
Machine Gun Preacher,Drama,2011,70000,6.7
Aquarius,Drama,2016,21000,7.4
The Manhattan Project,Dark Comedy,1986,7100,6.1
The Manhattan Project,Sci-Fi,1986,7100,6.1
The Manhattan Project,Thriller,1986,7100,6.1
The Princess Diaries 2: Royal Engagement,Romantic Comedy,2004,93000,5.9
The Princess Diaries 2: Royal Engagement,Teen Comedy,2004,93000,5.9
The Princess Diaries 2: Royal Engagement,Comedy,2004,93000,5.9
The Princess Diaries 2: Royal Engagement,Family,2004,93000,5.9
The Princess Diaries 2: Royal Engagement,Romance,2004,93000,5.9
Scary Movie V,Parody,2013,80000,3.6
Scary Movie V,Comedy,2013,80000,3.6
Scary Movie V,Horror,2013,80000,3.6
Short Term 12,Psychological Drama,2013,93000,7.9
Short Term 12,Drama,2013,93000,7.9
Locke,Psychological Drama,2014,164000,7.1
Locke,Drama,2014,164000,7.1
A Sound of Thunder,Action,2005,21000,4.2
A Sound of Thunder,Adventure,2005,21000,4.2
A Sound of Thunder,Horror,2005,21000,4.2
A Sound of Thunder,Sci-Fi,2005,21000,4.2
Ralph Breaks the Internet,Buddy Comedy,2018,194000,7.0
Ralph Breaks the Internet,Computer Animation,2018,194000,7.0
Ralph Breaks the Internet,Adventure,2018,194000,7.0
Ralph Breaks the Internet,Animation,2018,194000,7.0
